Morford	Mark P. O.
Waller	Robert James
Harris	Rachel
MCEWAN	IAN
Lewis	Michael
Zimler	Richard
Jetmundsen	Norman
Carcaterra	Lorenzo
Frasier	Anne
Hooper	Kay
Kierkegaard	Soren
Gaset	Jose Ortega Y
Maurier	Daphne Du
Hawthorne	Nathaniel
Page	Nick
Wolf	Laura
DUNCAN	LOIS
Grant	Susan
Vine	Barbara
Murphy	Shirley Rousseau
Lindskold	Jane
Waller	Robert James
Smith	Betty
Shepherd	Cybill
O'Nan	Stewart
Baldacci	David
Adams	Douglas
Lawson	Mary
Cather	Willa
Goldsmith	Olivia
Fielding	Helen
Austen	Jane
Dixon	Franklin W.
Dixon	Franklin W.
Dixon	Franklin W.
Braun	Lilian Jackson
Virden	Holly
Wright	H. Norman
Anthony	Piers
BRADBURY	RAY
Austen	Mary
Bradbury	Ray
Chandler	Raymond
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Bradbury	Ray
Coelho	Paolo
Marquez	Gabriel Garcia
Weldon	Fay
Weir	Arabella
Davenport	Kiana
Townsend	Sue
Demirkan	Renan
Moore	Michael
Franzen	Jonathan
Salinger	Jerome D.
Salinger	Jerome D.
Joyce	James
Trollope	Joanna
Townsend	Sue
Kundera	Milan
Roy	Arundhati
Levinson	Robert S.
Patterson	James
Patterson	James
Patterson	Richard North
Crichton	Michael
Patterson	Richard North
Landvik	Lorna
Golden	Arthur
HARUF	KENT
Cornwell	Patricia D.
Cornwell	Patricia D.
Farley	Carol J.
Woodiwiss	Kathleen E.
Woodiwiss	Kathleen E.
Plain	Belva
GRISHAM	JOHN
Grisham	John
HADDON	MARK
Grisham	John
BRASHARES	ANN
Segal	Erich
Adler	Elizabeth
Patterson	James
Sparks	Nicholas
SAUL	JOHN
LANDVIK	LORNA
King	Stephen
Thayer	Steve
Chevalier	Tracy
Kelman	Judith
Palmer	Michael
Hughes	Francine
Bridwell	Norman
Cornwell	Patricia
Brown	Dan
McCourt	Frank
Brown	Dan
McCourt	Malachy
Sandoz	Mari
Perry	Anne
SMITH	ALEXANDER MCCALL
Canfield	Jack
Maguire	Gregory
Martel	Yann
Rendell	Ruth
Franken	Al
TARTT	DONNA
Canfield	Jack
Milne	John
Shreve	Anita
Pratchett	Terry
Pratchett	Terry
Pratchett	Terry
White	E. B.
Barrie	J. M.
O'Hara	Mary
Pratchett	Terry
Pratchett	Terry
Pratchett	Terry
Pratchett	Terry
Rennison	Louise
Austen	Jane
Grahame	Kenneth
Cornwell	Bernard
Lint	Charles de
Dunsany	Edward John Moreton Drax Plunkett
Heyer	Georgette
WILDE	OSCAR
Hughes	Ted
DAHL	ROALD
PULLMAN	PHILIP
PULLMAN	PHILIP
PULLMAN	PHILIP
Townsend	Sue
Bradbury	Ray
Napoli	Donna Jo
Byatt	A. S.
Hidier	Tanuja Desai
KINSELLA	SOPHIE
Wolff	Isabel
Alcott	Louisa May
Austen	Jane
Orwell	George
Dickens	Charles
Allende	Isabel
Kingsolver	Barbara
Datlow	Ellen
Dickens	Charles
BYATT	A.S.
Heller	Joseph
Galsworthy	John
Blyton	Enid
Blyton	Enid
Gaiman	Neil
Moore	Alan
Gaiman	Neil
Moore	Alan
Gaiman	Neil
Suggs	Trudy
Wolfe	Tom
Udall	Brady
Hickam	Homer
Grisham	John
Abraham	Pearl
Hardy	Thomas
Junger	Sebastian
Armstrong	Karen
Barnard	Mary
Brin	David
Boyle	T. Coraghessan
Woodruff	Paul
Madaras	Lynda
McCauley	Stephen
Holland	Isabelle
Conrad	Pam
McDaniel	Lurlene
Kaufman	Brian
Darnton	John
Schenk	Martin
EDDINGS	DAVID
Reiser	Paul
Hartwell	David G.
Barry	Dave
Holt	John R.
Beale	Theodore
Robinson	Frank M.
Clark	Mary Jane
Shelley	Mary Wollstonecraft
Simau1999	Isabel-Clara
Westall	Robert
Parker	Robert B.
Works	Rita Chapman
Cornwell	Patricia
Adams	Douglas
Ansay	A. Manette
Waters	Sarah
Frank	Anne
Lopez	Barry
Palast	Greg
Clancy	Tom
Kane	Andrea
Barr	Nevada
Auster	Paul
King	Stephen
Maron	Margaret
BARKER	EDNA
Whitaker	Muriel
Irving	John
Austen	Mary
Austen	Mary
Austen	Mary
Patchett	Ann
Dahl	Roald
Kidd	Sue Monk
Thiele	Bob
Brown	Dan
McCullough	Colleen
Harris	Joanne
Grisham	John
Cahill	Thomas
Grisham	John
Hudson	Michael
Smiley	Jane
Francis	Dick
Francis	Dick
Roberts	Nora
Adams	Douglas
Marzollo	Jean
Wick	Walter
Delinsky	Barbara
James	P. D.
Upfield	Arthur William
Delinsky	Barbara
Rice	Christopher
Stout	Rex
Anderson	Joan
Havner	Vance
Wiersbe	Warren W.
Lucado	Max
Crabb	Lawrence J
Kaufman	Barry Neil
Sjogren	Bob
Moody	Frederick J.
Pirolo	Neal
Sleator	William
Saint-Exupauy	Antoine de
Bach	Richard
Sullivan	Kevin
Morgan	Michele
Cunningham	Scott,
Hulse	David Allen
Webster	Richard
King	Bernard
Hutchins	Pat
Shakespeare	William
McClone	Melissa
John	Cheryl St.
Carroll	Lewis
Clark	Mary Higgins
Twain	Mark
Wells	Rebecca
Crow	Dog Mary
Junger	Sebastian
Gordon	Linda
King	Florence
Sebold	Alice
Gray	Spalding
Harris	Thomas
RUTHERFURD	EDWARD
Atwood	Margaret
Allison	Dorothy
Atwood	Margaret
ANGELOU	MAYA
Wharton	Edith
Bird	Mary Brave
Neihardt	John G.
Warren	Roland
Molloy	Johnny
McCourt	James
Wurtzel	Elizabeth
Bradley	Bill
Ruiz	Don Miguel
Racionero	Luis
Simau	Eugeni Perea
Hauser	Thomas
Villatoro	Vicenau
Mora	Vauctor
Castedo	Elena
Dracs	Ofaulia
Dracs	Ofaulia
Serra	Antoni
Junyent	M. Carme
Capau1987	Jaume
Serra	Maurius
Torrent	Ferran
Agut	Joan
Rico-Godoy	Carmen
Binchy	Maeve
Torrent	Ferran
Jaau	Maria
Lester	Paul
Tolstoy	Leo
Nye	Simon
Johnson	Robert A
Vazquez-Rial	Horacio
Gascoigne	Marc
Maze	Stephanie
Dallas	Sandra
Anthony	Piers
Anthony	Piers
McCaffrey	Anne
Gemmell	David
Zigman	Laura
Grisham	John
Truman	Margaret
Kynaston	Nic
Danziger	Paula
Lupoff	Richard A.
Bebris	Carrie
Dubois	Ellen Carol
Ransom	Candice F.
Bobrick	Sam
Sewell	Anna
Dickens	Charles
Grosvenor	Donna K
Shelley	Mary Wollstonecraft
HAWTHORNE	NATHANIEL
McCaffrey	Anne
Westall	Robert
Block	Valerie
Rice	Luanne
Sebold	Alice
Boyle	T. Coraghessan
Gilchrist	Ellen
IRVING	JOHN
GAUTREAUX	TIM
Russo	Richard
Atwood	Margaret
Gaarder	Jostein
QUINDLEN	ANNA
Johnson	Diane
KOONTZ	DEAN
Lamb	Wally
Mah	Adeline Yen
Ehrenreich	Barbara
DUNNETT	DOROTHY
CARRE	JOHN LE
Gordon	A. C.
Goldsmith	Olivia
Dickinson	Emily
Harrison	Hazel
Girzone	Joseph
GIRZONE	JOSEPH
Anderson	Lorraine
Lahaye	Tim
HUDLER	AD
Carlton	Josephine
Nancy	Ted L.
Wheen	Francis
King	Stephen
Reardon	Joyce
Sheldon	Sidney
Moore	Christopher
Clark	Mary Higgins
Lacey	Robert
Dorsey	Tim
COMPTON	JODI
Leonard	Elmore
Leonard	Elmore
Coady	Lynn
Lawton	John
Lo	Eileen Yin-Fei
Edwards	Tilden H.
Kingsolver	Barbara
Kingsolver	Barbara
Seth	Vikram
Allende	Isabel
Hillerman	Tony
Gaskell	Elizabeth
Diamant	Anita
Haney	Lauren
Stern	Gerald
Braun	Lilian Jackson
Cornwell	Patricia Daniels
Binchy	Maeve
Grimes	Martha
James	Henry
Jewett	Sarah Orne
Williams	William Carlos
Trollope	Anthony
Wharton	Edith
Kemelman	Harry
Millington	Mil
Farnham	Suzanne G.
Milosz	Czeslaw
Guenther	Margaret
Juarroz	Roberto
Rubinstein	Akiba
McLaughlin	Emma
Coelho	P
Ferrante	Elena
Jennings	Paul
Neely	Mark E., Jr.
Weininger	Stephen J.
Katzenstein	Larry
Steinman	David
Kohn	Alfie
Lillard	Paula Polk
Lewis	David
Livingston	Billie
Lang	Adele
Banbury	Jen
Cornwell	Patricia Daniels
Coulter	Catherine
Dunne	Dominick
Cussler	Clive
Clark	Mary Higgins
Pascal	John
Hiaasen	Carl
Foer	Jonathan Safran
Martel	Yann
Marciano	Francesca
GLASS	JULIA
O'Dell	Tawni
Weiner	Jennifer
Steel	Danielle
Hale	Leon
Banks	Russell
Coleridge	Samuel Taylor
Warshauer	Bradley
Mason	Bobbie Ann
Roberts	Nora
Robards	Karen
Lathen	Emma
Koontz	Dean R.
Kellerman	Faye
Mitchard	Jacquelyn
Roberts	Nora
SMILEY	JANE
DAVIDSON	DIANE MOTT
Bushnell	Candace
Roberts	Nora
HANNAH	KRISTIN
Marshall	Michael
Widome	Allen
Grisham	John
Grisham	John
Smith	Wilbur
Thaler	Mike
Grisham	John
Slade	Michael
Sandford	John
HOAG	TAMI
HOAG	TAMI
Clark	Mary Higgins
Dekker	Ted
Hunt	Angela Elwell
Dekker	Ted
Lewis	C. S.
Lewis	C. S.
Eisner	William
Cook	Robin
Rule	Ann
HARRIS	E. LYNN
Goodman	Linda
RICE	ANNE
Rice	Anne
Rossner	Judith
French	Marilyn
Dyer	Wayne W.
Maupin	Armistead
Morgenstern	Julie
Straub	Peter
Austen	Mary
Steel	Danielle
Bradford	Barbara Taylor
Jackson	Lisa
MCCRUMB	SHARYN
Hooper	Kay
Clark	Mary Higgins
Roberts	Cokie
Corey	Shana
Ostrow	Jesse S.
Korman	Justine
GIFF	PATRICIA REILLY
Cleary	Beverly
Applegate	K. A.
Yolen	Jane
Moche	Dinah L.
Miller	Marvin
Boldman	Craig
Wells	H. G.
Kalman	Bobbie
Lackey	Mercedes
Lackey	Mercedes
Gilman	Dorothy
Austen	Mary
Lackey	Mercedes
Finch	Christopher
FRAZIER	CHARLES
Spencer-Fleming	Julia
Spencer-Fleming	Julia
Flagg	Fannie
Wilder	Laura Ingall
McCourt	Frank
GARDNER	LISA
Cleary	Beverly
Warner	Gertrude Chandler
Spencer-Fleming	Julia
PULLMAN	PHILIP
PULLMAN	PHILIP
PULLMAN	PHILIP
Hightower	Lynn S.
McCrumb	Sharyn
McCrumb	Sharyn
Gilman	Dorothy
Schlosser	Eric
Brockmann	Suzanne
Levine	Gail Carson
Levine	Gail Carson
KUFFEL	FRANCES
Conant	Susan
SCHICKLER	DAVID
Binchy	Maeve
McNaught	Judith
Bradbury	Ray
Evanovich	Janet
Plath	Sylvia
Koidahl	Ilona
Patterson	Richard North
Michaels	Fern
Michaels	Fern
Byars	Betsy
Sterling	Bruce
Patterson	James
Breathnach	Sarah Ban
Hoffman	Alice
Scottoline	Lisa
Johnson	Spencer
McEwan	Ian
Feldman	David
Bausch	Richard
Fforde	Katie
Burke	James
Broyard	Bliss
Paretsky	Sara
Webb	Charles
Benedict	Elizabeth
Morison	Stanley
Miller	Henry
Whyte	David
Bennis	Warren
Beck	Martha
Tutu	Desmond Mpilo
Shepard	Kris
Kerouac	Jack
Buber	Martin
Austen	Mary
Bettin	Gianfranco
Monette	Paul
Hemingway	Ernest
Carlson	Melody
Kwitney	Alisa
Letts	Billie
Bank	Melissa
Gelissen	Rena Kornreich
Zappa	Moon Unit
Mooney	Ted
Wiggs	Susan
Rubio	Gwyn Hyman
Robinson	Elisabeth
Niffenegger	Audrey
Shreve	Anita
Farrington	Tim
Salzman	Mark
Potok	Chaim
Spencer	Scott
Potok	Chaim
Potok	Chaim
Naipaul	V. S.
Naipaul	V.S.
Giono	Jean
Fournier	Alain
Remarque	Erich Maria
Austen	Mary
Barjavel	Rene
David-Neiel	Alexandra
Baudelaire	C.
Bradbury	Ray
Radiguet	Raymond
Zola	Emile
Giono	Jean
Austen	Mary
Austen	Mary
Heinlein	Robert A.
Nadolny	Sten
Benard	Cheryl
Wichterich	Christa
Blofeld	John.
Obbo	Christine
Wichterich	Christa
Heim	Peter B
Austen	Jane
Lind	Hera
Roy	Arundhati
Brown	Dan
Sparks	Nicholas
Hamilton	Jane
Higgins	Jack
Fielding	Helen
Ansay	A. Manette
Shreve	Anita
Collins	Max Allan
Barry	Dave
Guterson	David
GRISHAM	JOHN
Schlink	Bernhard
Dickey	Eric Jerome
HANNAH	KRISTIN
Gaffney	Patricia
Clark	Mary Higgins
Delinsky	Barbara
Evans	Richard Paul
Levy	Marc
Becker	Laney Katz
Irving	John
NABOKOV	VLADIMIR
Sparks	Nicholas
Lauck	Jennifer
Patterson	Richard North
Keenan	Joe
Ray	Jeanne
Sparks	Nicholas
Sparks	Nicholas
Parsons	Tony
McCafferty	Jane
Esquivel	Laura
TOLKIEN	J.R.R.
Berry	Venise T.
Junger	Sebastian
Roberts	Nora
Karon	Jan
McCarthy	Cormac
Patterson	James
Clark	Mary Higgins
Patterson	James
Evans	Richard Paul
Thrasher	Travis
McEnroe	John
Delinsky	Barbara
Dickey	Eric Jerome
Mandel	Sally
Shuler	Linda Lay
Theroux	Paul
Francis	Dick
Dailey	Janet
Lanzmann	Claude
Snicket	Lemony
Thomas	Matthew
Vian	Boris
Marquez	Gabriel Garcia
Sepeilveda	Luis
Selby	Hubert
Weisberg	Jacob
Lodge	David
Hamilton	Judy
Ardagh	Philip
Banks	Iain
Weisberg	Jacob
Crombie	David
Steinbeck	John
O'Mara	Michael
Brassey	Richard
Hamme	Jean Van
Holder	R. W.
Ferguson	Valerie
Werber	Bernard
Sloss	Andy
KRONZEK	ALLAN ZOLA
Squire	Charles L.
Jarvie	Gordon
Ardagh	Philip
Vian	Boris
Spence	Alan
Siegel	Helene
Shepard	E.H.
Milne	Alan Alexander
Thompson	Eric
Strout	Elizabeth
Banks	Russell
Sedaris	David
Feinberg	Leslie
Gaiman	Neil
Wolfe	Chris Anne
Sanders	Lauren
Baudino	Gael
Maddison	Lauren
Anshaw	Carol
Stewart	Jean
Donoghue	Emma
McDowell	Deborah
Tulchinsky	Karen X.
Allison	Dorothy
Thompson	Jill
Seay	Jody
Scott	Manda
Scott	Manda
Koontz	Dean R.
Foxworthy	Jeff
Brooks	Terry
Crispin	A.C.
Crispin	A. C.
Crispin	A. C.
Arnold	Madelyn
Pierce	Tamora
Chute	Carolyn
Orwig	Sara
Koontz	Dean R.
Michaels	Melisa
Bird	Isobel
Pohl	Frederik
MCINTYRE	VONDA
Varley	John
Garden	Nancy
Rice	Christopher
Griffith	Nicola
Lindskold	Jane
Campbell	Julie
Garden	Nancy
SMITH	LEE
WOODSON	JACQUELINE
Woodson	Jacqueline
Summitt	Pat Head
Belzer	Richard
Harris	Thomas
Hornby	Nick
Adams	Douglas
McCullough	Colleen
King	Stephen
Parker	Robert B.
Johnson	Andrew L.
Babson	Marian
Gear	W. Michael
Koontz	Dean R.
Phifer	Paul
Hoeg	Peter
Bombeck	Erma
Vecchioni	Roberto
Mortimer	John
Doctorow	E. L.
Schama	Simon
Waters	Frank
Hesse	Karen
Oppel	Kenneth
Brink	Carol Ryrie
Applegate	K. A.
Lewis	C. S.
Lewis	C. S.
Roberts	Shelly R.
Duane	Diane
Duane	Diane
Duane	Diane
Brockmann	Carolee
Roberts	Rachel
Roberts	Rachel
Roberts	Rachel
Roberts	Rachel
Roberts	Rachel
Namioka	Lensey
Behrend	Jackie Eileen
Clements	Andrew
Adams	Douglas
LOWRY	LOIS
Hattaway	Paul
Stella	Alain
Moser	Milena
Highsmith	Patricia
Follett	Ken
Follett	Ken
Donaldson	Stephen
DONALDSON	STEPHEN R.
Schlink	Bernhard
King	Stephen
Rimbauer	Ellen
Herzog	Todd
Borneman	John
MCELVAINE	ROBERT S.
Stoker	Bram
Stackpole	Michael A.
Adams	Douglas
Hughes	Langston
Perry	Anne
Matthews	Carol
Matthews	Carole
Tobin	Jacqueline L.
Bradley	Marion Zimmer
Codrescu	Andrei
Aarsen	Carolyne
L'Amour	Louis
Chapman	Jack
Alessandra	Anthony J
Swindoll	Charles R.
Clancy	Tom
Card	Orson Scott
Howard	V. A
Clancy	Tom
Grisham	John
Wilson	Walter P.
Fries	Bruce
Limbaugh	Rush H., III
GRISHAM	JOHN
Dingus	Anne
Chopin	Kate
Kazanjian	Kirk
Allen	Donald Merriam
Clancy	Tom
Maples	William
Hausman	Carl
Peck	Richard
Connelly	Michael
McNaught	Judith
Braun	Lilian Jackson
Lescroart	John T.
Jakes	John
McDermott	Alice
Bailey	Hilary
Fast	Howard
Fletcher	Jessica
Plain	Belva
Truman	Margaret
PATTERSON	RICHARD NORTH
Goudge	Eileen
STEEL	DANIELLE
Lamb	Arnette
Coulter	Catherine
Anthony	Piers
Rice	Anne
CRONKITE	WALTER
Mula	Tom
Dyer	Lois Faye
Lamb	Sharon
Doyle	Sir Arthur Conan
CHRISTIE	AGATHA
Cohen	Mark
Shahan	Sherry
Myers	Helen
Rowland	Della
Adler	Irving.
Peters	Elizabeth
Busbee	Shirlee
BRONTE	EMILY
Sheldon	Sidney
Cook	Robin
Peretti	Frank E.
Keel	John A.
Scott	Stefanie
Winters	Rebecca
Cabot	Meg
Lee	Tanith
Thacker	Cathy Gillen
Burton	Richard
HOAG	TAMI
Eugenides	Jeffrey
Hastings	Beverly
Bergerac	Cyrano de
Robertson	James C.
Southwick	Teresa
Chopin	Kate
Guest	Judith
GRISHAM	JOHN
Field	Sandra
Brooks	Helen
Wright	Blanche Fisher
Cook	Robin
Gately	George
Koontz	Dean R.
Burke	James Lee
Chabon	Michael
Michaels	Barbara
Michaels	Barbara
Michaels	Barbara
Juster	Norton
Blake	Michael
Bellairs	John
HIAASEN	CARL
Douglas	Carole Nelson
GOLDMAN	WILLIAM
Reisner	Marc
Bowden	Mark
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Pearce	Jonathan
Palmer	Michael
Patterson	Richard North
Bronte	Emily
Austen	Jane
Botton	Alain de
Adams	Douglas
Palahniuk	Chuck
Bronte	Emily
Proulx	Annie
Davies	Adam
Walker	Harry M.
Evans	Nicholas
Kundera	Milan
Anthony	Piers
MONTGOMERY	L.M.
Austen	Mary
MITCHELL	DAVID
Foer	Jonathan Safran
Bukowski	Charles
Kerouac	Jack
Murakami	Haruki
Murakami	Haruki
Burnett	Frances Hodgson
Wrede	Patricia C.
London	Jack
Wilkinson	Bruce
Wrede	Patricia C.
Goodway	Malcolm
MacDonald	Ann-Marie
Johansen	Iris
GARDNER	LISA
MICHAELS	FERN
Howard	Linda
Plain	Belva
Plain	Belva
Miller	Sue
Tepper	Sheri S.
SEUSS	DR
Wolff	Tobias
Singer	Isaac Bashevis
Helprin	Mark
Zukav	Gary
Irving	John
Hemingway	Ernest
Kelly	Alfred H.
Zola	Emile
Austen	Mary
Franzen	Jonathan
Kliban	B
BLUNT	JUDY
Trevor	William
Walker	Alice
Gazi	Stephen
Stegner	Wallace
DeLillo	Don
Ellison	Ralph
Allende	Isabel
Allende	Isabel
Silverstein	Shel
Lahiri	Jhumpa
Trigg	Liz
Sullivan	Charles
Wells	Rebecca
Lamb	Wally
ROBBINS	TOM
Hegi	Ursula
Richardson	Samuel
Martin	Valerie
Marquez	Gabriel Garcia
Farrer-Halls	Gill
Mordock	John
Bowes	Susan
GABALDON	DIANA
Sedaris	David
Smith	Zadie
GOLDBERG	NATALIE
Grafton	Sue
Kennedy	William J.
Shacochis	Bob
Steinbeck	John
Alcorn	Randy
Cobb	Nancy
Moor	Margriet de
Maupin	Armistead
Carnegie	Dale
Stoll	Clifford
Patterson	James
King	Stephen
RICE	ANNE
Patterson	James
Rice	Anne
CISNEROS	SANDRA
Paulsen	Gary
Henry	Marguerite
Lee	Tanith
Garland	Sherry
Michaels	Barbara
Sagan	Carl
Kirberger	Kimberly
Papa	Ariella
Rosen	Michael J.
Chipman	Dawn
Olson	Shannon
Naylor	Phyllis Reynolds
Shelley	Mary Wollstonecraft
Stolz	Karen
NAYLOR	CLARE
Chbosky	Stephen
Albanese	Antonio
Weis	Margaret
Doig	Ivan
Allende	Isabel
Nasar	Sylvia
Jin	Ha
Laird	Elizabeth
Ellison	Harlan
Allende	Isabel
Gitlitz	David M.
Hohlbein	Wolfgang
Hein	Christoph
Hauptmann	Gaby
See	Carolyn
Wolf	Christa
Brussig	Thomas
Vitebsky	Piers
Weidner	Christopher
Pratchett	Terry
Gaarder	Jostein
TOLKIEN	J.R.R.
Tolkien	J. R. R.
Lovecraft	H. P.
Kerouac	Jack
Gaiman	Neil
Grim	Pamela
Clarke	Arthur C.
Maupin	Armistead
Bennett	Jay
Applegate	John
Straczynski	J. Michael
Myers	John Myers
Tannahill	Reay
Whyte	Jack
Donaldson	Stephen R.
Donaldson	Stephen R
Donaldson	Stephen R.
Donaldson	Stephen R.
Donaldson	Stephen
Donaldson	Stephen R.
Matthiessen	Peter
Higgins	Jack
Kent	Paul
Harris	Thomas
Crichton	Michael
McKinley	Robin
Whittemore	Hank
Satter	Ellyn
Brittain	Bill
Wilson	August
Michaels	Fern
Roberts	Nora
Robinson	Marilynn
Nunez	Sigrid
Auster	Paul
Scott	Amanda
Gaiman	Neil
Fowles	John
McCullough	Colleen
Catling	Christopher
Bundles	A'Lelia
Sayers	Dorothy L.
Deveraux	Jude
Roy	Arundhati
Lindbergh	Anne Morrow
KING	LAURIE R.
Diamant	Anita
Duprau	Jeanne
Erdrich	Louise
Haynes	Melinda
Yang	Belle
Shields	Carol
Walker	Alice
Nabokov	Vladimir Vladimirovich
Powers	Tim
Lorrah	Jean
Wilde	Oscar
Beer	John
Coelho	Paulo
Erskine	Barbara
Arens	Annegrit
Sparks	Nicholas
Alpers	Hans Joachim
Salinger	Jerome D.
Hesse	Hermann
Chbosky	Stephen
Zglinicki	Claudia von
Hohlbein	Wolfgang
Miller	Linda Lael
Feather	Jane
L'AMOUR	LOUIS
Forstchen	William
Robinson	Spider
McKiernan	Dennis L.
Rush	Mallory
Fenn	Lionel
Halston	Carole
Rimmer	Christine
James	BJ
Banks	Iain
Kundera	Milan
Capote	Truman
Seth	Vikram
Scott	Darrell
Goethe	Johann Wolfgang Von
Elsaesser	Thomas
Plass	Adrian
Plass	Adrian
Plass	Adrian
Plass	Adrian
Mccourt	Frank
Hardy	Thomas
Golden	Arthur
Quirke	Stephen
Rule	Ann
Bukowski	Charles
Herbert	James
Sutcliffe	William
Austen	Mary
Austen	Mary
Brunhoff	Jean de
Brunhoff	Jean de
Fix	Philippe
Keller	Claudia
Wilson	F. Paul
Lazarus	Arnold A.
Estes	Clarissa Pinkola
Jensen	Virginia Allen
Austen	Mary
Austen	Mary
PALAHNIUK	CHUCK
PALAHNIUK	CHUCK
Allen	John Paul
Moore	Christopher
Austen	Mary
Selby	Hubert
Trudeau	G. B.
Larson	Gary
Keillor	Garrison
Franken	Al
Breathed	Berke
Kipfer	Barbara Ann
Francis	Dick
FRIED	STEPHEN
Wrede	Patricia C.
Stephanopoulos	George
Brown	Rita Mae
Alcott	Louisa May
Funke	Cornelia
Lee	Stan
Paglia	Camille
Kahn	James
Heinlein	Robert A.
McCaffrey	Anne
Alcott	Louisa May
McBride	James
Sachar	Louis
McCaffrey	Anne
McCaffrey	Anne
Lustbader	Eric Van
Asprin	Robert
FRANK	ANNE
Feverstein	Georg
Eve	Nomi
Catton	Bruce
Gibson	William
Eaton	Clement
Wells	H. G.
Brooks	Terry
Brooks	Terry
Anthony	Piers
King	Stephen
McMurtry	Larry
Kinsella	Sophie
KINSELLA	SOPHIE
Irving	John
Collins	Judy
Sacks	Oliver W.
Aarsen	Carolyne
Broadrick	Annette
Ehrenreich	Barbara
Cohn	Rachel
Keene	Carolyn
M.D.	Rachel Naomi Remen
Rice	Luanne
Krentz	Jayne Ann
Roberts	Nora
Smith	Joan
Gibbons	Kaye
Chandler	Bryn
Brewster	Tod
Osborne	Eliza
Norman	Howard
Griesemer	John
Swick	Marly A.
L'Heureux	John
Ivins	Molly
Hillerman	Tony
Carter	Forrest
Eco	Umberto
Bear	Greg
Gaiman	Neil
Roy	Arundhati
McCrumb	Sharyn
Sparks	Nicholas
Reichs	Kathy
Deaver	Jeffery
Barr	Nevada
Smith	Martin Cruz
Andrews	V.C.
Hill	Stephen
Cook	Robin
Heine	Ernst W.
Fletcher	Donna
Larsen	Jeanne
Wood	Bari
Cozzens	James Gould
Jonsson	Reidar
Clark	June Vendall
Reilly	Robert
Nunn	Kem
King	Larry
Kingsolver	Barbara
Gaines	Ernest J.
Lamott	Anne
Lott	Bret
Hurston	Zora Neale
Fisher	Jude
Rushdie	Salman
Taylor	G. P.
Bryson	Bill
MCCAFFREY	ANNE
Steinbeck	John
